company_name,stock_code,Industry,p_DII,p_hhi_count_gender,p_std_attrition_gender,p_cv_salary_gender,p_hhi_count_race,p_std_attrition_race,p_cv_salary_race
"22nd Century Group, Inc.",XXII,Consumer Staples  ,0.494423792,0.446891973,0.173865699,0.446891973,0.714242607,0.123327306,0.744179014
23andMe Holding Co.,ME,Health Care  ,0.924395947,0.994046307,0.708847655,0.994046307,0.889378905,0.616985779,0.895709134
"2U, Inc.",TWOU,Consumer Discretionary  ,0.887973641,0.868088811,0.6625387,0.868088811,0.682194166,0.892671855,0.873964239
"30DC, Inc.",TDCH,Information Technology  ,0.219288175,0.953516329,0.867769525,0.953516329,0.096373472,0.904366371,0.086711598
3D Systems Corporation,DDD,Information Technology  ,0.492537313,0.409537167,0.626266036,0.409537167,0.402023643,0.603210237,0.573081179
"3DX Industries, Inc.",DDDX,Industrials  ,0.061518325,0.48699187,0.192856225,0.48699187,0.182694541,0.720918302,0.092915215
3M Company,MMM,Industrials  ,0.708115183,0.799651568,0.905177952,0.799651568,0.420092915,0.657817109,0.6970964
"4Cable TV International, Inc.",CATV,Information Technology  ,0.066590126,0.112903226,0.125253207,0.112903226,0.563213785,0.078908968,0.151192033
"4D Molecular Therapeutics, Inc.",FDMT,Health Care  ,0.648480125,0.726277104,0.449868599,0.726277104,0.656890849,0.574481608,0.761757562
4Front Ventures Corp.,FFNT,Health Care  ,0.123928293,0.772583609,0.40248467,0.772583609,0.180374862,0.356717248,0.251048797
"6D Global Technologies, Inc.",SIXD,Information Technology  ,0.529276693,0.821378481,0.443394103,0.821378481,0.79923863,0.579189584,0.542802535
808 Renewable Energy Corporation,RNWR,Utilities  ,0.793814433,0.638121547,0.29305136,0.638121547,0.932780847,0.097683787,0.985267035
"89bio, Inc.",ETNB,Health Care  ,0.327357755,0.230944506,0.09397149,0.230944506,0.548033811,0.092635259,0.669463458
"8x8, Inc.",EGHT,Information Technology  ,0.98163031,0.692246043,0.895228449,0.692246043,0.884291725,0.593108093,0.970827885
"9 Meters Biopharma, Inc.",NMTR,Health Care  ,0.395167576,0.624035281,0.143585251,0.624035281,0.618890114,0.136807818,0.694192979
908 Devices Inc.,MASS,Information Technology  ,0.237657865,0.600080144,0.583727211,0.600080144,0.210378682,0.189246829,0.389799819
"A-Mark Precious Metals, Inc.",AMRK,Financials  ,0.585020243,0.228666189,0.454089313,0.228666189,0.676765866,0.356184948,0.730638222
A. O. Smith Corporation,AOS,Industrials  ,0.695026178,0.68466899,0.384042143,0.68466899,0.65029036,0.839168911,0.76445993
A.D. Makepeace Company,MAKE,Consumer Staples  ,0.260223048,0.913095957,0.272232305,0.913095957,0.850331925,0.141048825,0.346537647
A.M. Castle & Co.,CTAM,Industrials  ,0.582460733,0.72485482,0.32146987,0.72485482,0.719279907,0.50878543,0.721486643
"A10 Networks, Inc.",ATEN,Information Technology  ,0.737083812,0.351632939,0.719671393,0.351632939,0.940793428,0.659557751,0.623780304
"AAON, Inc.",AAON,Industrials  ,0.842931937,0.613356562,0.393164589,0.613356562,0.85029036,0.584840323,0.929965157
AAR Corp.,AIR,Industrials  ,0.907068063,0.341347271,0.785429783,0.341347271,0.843205575,0.882775426,0.785133566
"ABCO Energy, Inc.",ABCE,Information Technology  ,0.076923077,0.02153877,0.651249156,0.02153877,0.226708075,0.06184757,0.107836234
ABM Industries Incorporated,ABM,Industrials  ,0.933246073,0.906968641,0.697545933,0.906968641,0.963530778,0.579068873,0.892450639
ACADIA Pharmaceuticals Inc.,ACAD,Health Care  ,0.723304754,0.983755972,0.804172971,0.983755972,0.47262036,0.854214666,0.698903364
ACCO Brands Corporation,ACCO,Industrials  ,0.564136126,0.931358885,0.45419504,0.931358885,0.452380952,0.58214698,0.724157956
"ACI Worldwide, Inc.",ACIW,Information Technology  ,0.67967853,0.819374875,0.52790907,0.819374875,0.614906832,0.657986306,0.751332864
"ACM Research, Inc.",ACMR,Information Technology  ,0.127439724,0.46593869,0.123452622,0.46593869,0.714786616,0.242788192,0.188009255
ACNB Corporation,ACNB,Financials  ,0.130566802,0.452043743,0.342900151,0.452043743,0.189942632,0.339271417,0.261384009
ACRES Commercial Realty Corp.,ACR,Financials  ,0.381578947,0.905342417,0.232413447,0.905342417,0.676855504,0.293334668,0.519003227
"ACS Global, Inc.",AMCY,Health Care  ,0.054559626,0.132892319,0.676116907,0.132892319,0.059536935,0.186144435,0.079414146
ACV Auctions Inc.,ACVA,Industrials  ,0.672774869,0.297328688,0.90761917,0.297328688,0.363066202,0.678979095,0.69767712
"ADDvantage Technologies Group, Inc.",AEY,Information Technology  ,0.334098737,0.248547385,0.604659014,0.248547385,0.298938089,0.590301942,0.39040338
"ADM Tronics Unlimited, Inc.",ADMT,Materials  ,0.231660232,0.601355167,0.057449963,0.601355167,0.534161491,0.019188192,0.670531674
"ADMA Biologics, Inc.",ADMA,Health Care  ,0.814497272,0.926865123,0.811818109,0.926865123,0.836163175,0.753873044,0.680429823
"ADOMANI, Inc.",ADOM,Consumer Discretionary  ,0.021416804,0.074299811,0.113410461,0.074299811,0.058482078,0.156128405,0.144352377
ADT Inc.,ADT,Industrials  ,0.879581152,0.581300813,0.828472311,0.581300813,0.776655052,0.853148647,0.751916376
"ADTRAN, Inc.",ADTN,Information Technology  ,0.322617681,0.562512523,0.534436192,0.562512523,0.358244841,0.397014255,0.429232472
AECOM,ACM,Industrials  ,0.884816754,0.610569106,0.733136323,0.610569106,0.678281069,0.821982814,0.84796748
"AER Energy Resources, Inc",AERN,Energy  ,0.174757282,0.208143652,0.445584577,0.208143652,0.337632777,0.484801489,0.324351805
"AFA Protective Systems, Inc.",AFAP,Industrials  ,0.196335079,0.414401858,0.146216112,0.414401858,0.57630662,0.342824163,0.370963995
"AFC Gamma, Inc.",AFCG,Financials  ,0.064777328,0.082825385,0.189864526,0.082825385,0.186357117,0.259707766,0.209483686
AGCO Corporation,AGCO,Industrials  ,0.54973822,0.407317073,0.454837466,0.407317073,0.506504065,0.319866615,0.772590012
AGNC Investment Corp.,AGNC,Financials  ,0.218623482,0.343223378,0.10366282,0.343223378,0.373072786,0.01631305,0.541771244
AIM ImmunoTech Inc.,AIM,Health Care  ,0.791893998,0.74185961,0.389424226,0.74185961,0.886953326,0.312306348,0.938912195
AIkido Pharma Inc.,AIKI,Health Care  ,0.083398285,0.217126057,0.247033527,0.217126057,0.123778023,0.594661158,0.211967322
"ALJ Regional Holdings, Inc.",ALJJ,Information Technology  ,0.677382319,0.820677219,0.846049966,0.820677219,0.817671809,0.742170838,0.507695403
ALL-Q-TELL Corp.,ALLQ,Health Care  ,0.116134061,0.730613745,0.312176475,0.730613745,0.189415656,0.121712878,0.332376536
"ALLETE, Inc.",ALE,Utilities  ,0.154639175,0.506445672,0.452165156,0.506445672,0.135359116,0.250755287,0.248618785
ALR Technologies Inc.,ALRT,Health Care  ,0.888542479,0.07629548,0.802022776,0.07629548,0.849320103,0.42798125,0.885699566
ALX Oncology Holdings Inc.,ALXO,Health Care  ,0.709275136,0.906210952,0.519550848,0.906210952,0.872399853,0.274092317,0.808051814
AMB Financial Corp.,AMFC,Financials  ,0.178137652,0.715399785,0.146211741,0.715399785,0.835245608,0.057445957,0.246952313
AMBG Inc.,AMBG,Communication Services  ,0.432601881,0.444616576,0.943902439,0.444616576,0.859540408,0.938219261,0.131041613
"AMC Entertainment Holdings, Inc.",AMC,Communication Services  ,0.786833856,0.775109734,0.822865854,0.775109734,0.858765815,0.528164749,0.697596278
AMC Networks Inc.,AMCX,Communication Services  ,0.771159875,0.77794991,0.782012195,0.77794991,0.587658146,0.665354331,0.752649263
AMCON Distributing Company,DIT,Consumer Discretionary  ,0.156507414,0.988245538,0.126772038,0.988245538,0.436221158,0.2769131,0.34568978
"AMEN Properties, Inc.",AMEN,Energy  ,0.275080906,0.42185129,0.1085199,0.42185129,0.371775417,0.111662531,0.656837824
AMERCO,UHAL,Industrials  ,0.795811518,0.865853659,0.417705255,0.865853659,0.840534262,0.763498782,0.809872242
"AMERISAFE, Inc.",AMSF,Financials  ,0.326923077,0.894316959,0.396487707,0.894316959,0.452671208,0.449859888,0.401039799
"AMETEK, Inc.",AME,Industrials  ,0.897905759,0.537166086,0.732108441,0.537166086,0.673054588,0.865845838,0.860627178
"AMMO, Inc.",POWW,Consumer Discretionary  ,0.05107084,0.428239733,0.087176145,0.428239733,0.122478595,0.177853437,0.274458497
"AMN Healthcare Services, Inc.",AMN,Health Care  ,0.644583009,0.2707828,0.651031297,0.2707828,0.579051819,0.813219989,0.652241113
AMREP Corporation,AXR,Real Estate  ,0.676056338,0.935698448,0.28,0.935698448,0.679600887,0.418230563,0.841463415
"ANI Pharmaceuticals, Inc.",ANIP,Health Care  ,0.321901793,0.737081955,0.287250139,0.737081955,0.379786843,0.258044014,0.586884522
"ANSYS, Inc.",ANSS,Information Technology  ,0.760045924,0.431576838,0.863042989,0.431576838,0.754658385,0.501515322,0.710693089
APi Group Corporation,APG,Industrials  ,0.319371728,0.211033682,0.539252216,0.211033682,0.251103368,0.871232525,0.366085947
"ARC Document Solutions, Inc.",ARC,Industrials  ,0.955497382,0.553426249,0.712321727,0.553426249,0.830778165,0.862639477,0.92485482
"ARC Group Worldwide, Inc.",ARCW,Industrials  ,0.643979058,0.796515679,0.503019401,0.796515679,0.850174216,0.277670899,0.736817654
"ARC Group, Inc.",RLLY,Consumer Discretionary  ,0.359143328,0.450297489,0.255825322,0.450297489,0.595994776,0.205252918,0.549934584
"ARCA biopharma, Inc.",ABIO,Health Care  ,0.205767732,0.761999265,0.647447639,0.761999265,0.238074237,0.036704536,0.371310812
"ARMOUR Residential REIT, Inc.",ARR,Financials  ,0.022267206,0.952940122,0.041144004,0.952940122,0.224901398,0.132005604,0.170580853
"ASFG, Inc.",ASFJ,Financials  ,0.574898785,0.933936895,0.745709985,0.933936895,0.192004303,0.948658927,0.601828612
ASGN Incorporated,ASGN,Industrials  ,0.914921466,0.9271777,0.736476937,0.9271777,0.75029036,0.838784148,0.850058072
"AST SpaceMobile, Inc.",ASTS,Communication Services  ,0.326018809,0.280402789,0.1625,0.280402789,0.449780532,0.349182314,0.608942879
AT&T Inc.,T,Communication Services  ,0.915360502,0.663310096,0.855792683,0.663310096,0.782339272,0.526044821,0.881881623
ATC Venture Group Inc.,ATCV,Materials  ,0.374517375,0.287972897,0.806893996,0.287972897,0.33201581,0.866420664,0.408371041
ATIF Holdings Limited,ATIF,Industrials  ,0.007853403,0.083275261,0.061672877,0.083275261,0.065389082,0.125817622,0.090940767
"ATN International, Inc.",ATNI,Communication Services  ,0.702194357,0.77097857,0.773170732,0.77097857,0.6395559,0.380981224,0.749289222
"AVEO Pharmaceuticals, Inc.",AVEO,Health Care  ,0.48558067,0.731348769,0.15019511,0.731348769,0.765674384,0.160006356,0.752410392
AVEW Holdings Inc.,AVEW,Industrials  ,0.221204188,0.187108014,0.047154054,0.187108014,0.529732869,0.119917917,0.528222997
"AVITA Medical, Inc.",AVH,Health Care  ,0.412314887,0.510694598,0.181651668,0.510694598,0.504887909,0.435846508,0.667623464
"AVP, Inc.",AVPI,Communication Services  ,0.601880878,0.649109218,0.530182927,0.649109218,0.518202943,0.334948516,0.788834324
"AVRA Medical Robotics, Inc.",AVMR,Health Care  ,0.12548714,0.206100698,0.376204507,0.206100698,0.351341419,0.628902836,0.13763156
"AVROBIO, Inc.",AVRO,Health Care  ,0.876071707,0.818816612,0.78545831,0.818816612,0.734803381,0.542702789,0.872451608
"AWG, Ltd.",AWGL,Consumer Staples  ,0.137546468,0.907664454,0.068965517,0.907664454,0.617079059,0.184086799,0.344723314
"AXIM Biotechnologies, Inc.",AXIM,Health Care  ,0.260327358,0.665270121,0.552998328,0.665270121,0.193017273,0.856677524,0.297048649
AXP Energy Limited,AXP,Energy  ,0.417475728,0.93651998,0.924751244,0.93651998,0.253161356,0.875620347,0.323589222
"AXT, Inc.",AXTI,Information Technology  ,0.969001148,0.696553797,0.878010353,0.696553797,0.967641755,0.962622068,0.803239111
AZZ Inc.,AZZ,Industrials  ,0.645287958,0.306620209,0.557368624,0.306620209,0.678861789,0.665384122,0.690940767
AbbVie Inc.,ABBV,Health Care  ,0.946999221,0.793605292,0.875049773,0.793605292,0.717015803,0.781917852,0.89063075
Abbott Laboratories,ABT,Health Care  ,0.955572876,0.925468578,0.799872581,0.925468578,0.745828739,0.825931517,0.91248988
"Abby, Inc.",ABBY,Consumer Discretionary  ,0.97199341,0.918734581,0.85465211,0.918734581,0.742417646,0.935797665,0.891844745
Abeona Therapeutics Inc.,ABEO,Health Care  ,0.551052221,0.625284822,0.846619415,0.625284822,0.440499816,0.434972591,0.596526091
Abercrombie & Fitch Co.,ANF,Consumer Discretionary  ,0.874794069,0.631693513,0.552713052,0.631693513,0.902191264,0.46076524,0.945777002
"Abiomed, Inc.",ABMD,Health Care  ,0.73421668,0.586034546,0.821613443,0.586034546,0.492980522,0.82879161,0.712960919
Ablaze Technologies Inc,ABZT,Communication Services  ,0.87460815,0.393235218,0.941768293,0.393235218,0.699715982,0.898546336,0.706125614
"Able Energy, Inc.",ABLE,Energy  ,0.252427184,0.812089024,0.901430348,0.812089024,0.090794133,0.922146402,0.170310117
Abraxas Petroleum Corporation,AXAS,Energy  ,0.194174757,0.514162873,0.161069652,0.514162873,0.428426909,0.325682382,0.462125064
Absecon Bancorp,ASCN,Financials  ,0.5,0.467640731,0.478273959,0.467640731,0.577984941,0.84377502,0.475439226
"Acacia Diversified Holdings, Inc.",ACCA,Health Care  ,0.253312549,0.489305402,0.921159513,0.489305402,0.246306505,0.945340431,0.086774122
Acacia Research Corporation,ACTG,Industrials  ,0.717277487,0.997444832,0.212000514,0.997444832,0.941463415,0.055277671,0.950522648
"Academy Sports and Outdoors, Inc.",ASO,Consumer Discretionary  ,0.782537068,0.903932666,0.510672967,0.903932666,0.800029023,0.800907912,0.760866405
"Acadia Healthcare Company, Inc.",ACHC,Health Care  ,0.508963367,0.28585079,0.803217329,0.28585079,0.494891584,0.653134186,0.500699198
"Accel Entertainment, Inc.",ACEL,Consumer Discretionary  ,0.144975288,0.331446815,0.284992667,0.331446815,0.229429691,0.227788586,0.3891554
"Accelera Innovations, Inc",ACNV,Health Care  ,0.714731099,0.434913635,0.107748666,0.434913635,0.797574421,0.498371336,0.966806506
"Accelerate Diagnostics, Inc.",AXDX,Health Care  ,0.656274357,0.728702683,0.782909931,0.728702683,0.574053657,0.469134822,0.694340178
Accelerated Technologies Holding Corp.,ATHC,Information Technology  ,0.474167623,0.693047485,0.592617601,0.693047485,0.402324184,0.843080031,0.492505784
Acceleron Pharma Inc.,XLRN,Health Care  ,0.8020265,0.782065417,0.454168989,0.782065417,0.751194414,0.838007468,0.836608523
"Access Worldwide Communications, Inc.",AWWC,Industrials  ,0.121727749,0.814634146,0.076834126,0.814634146,0.597328688,0.260741311,0.255981417
"Accolade, Inc.",ACCD,Health Care  ,0.653156664,0.390077178,0.870032651,0.390077178,0.472326351,0.660999444,0.647236329
Accuray Incorporated,ARAY,Health Care  ,0.625876851,0.303197354,0.706617823,0.303197354,0.560382212,0.387304362,0.717818503
"AcelRx Pharmaceuticals, Inc.",ACRX,Health Care  ,0.545596259,0.624476295,0.299275305,0.624476295,0.491142962,0.704615874,0.730624862
Acer Therapeutics Inc.,ACER,Health Care  ,0.228371005,0.768026461,0.701759975,0.768026461,0.21786108,0.226026853,0.342165305
"Aclaris Therapeutics, Inc.",ACRS,Health Care  ,0.395946999,0.899889746,0.595126224,0.899889746,0.31047409,0.534281401,0.51240156
Acme United Corporation,ACU,Industrials  ,0.510471204,0.836353078,0.89939612,0.836353078,0.803832753,0.348980377,0.394889663
"Acorda Therapeutics, Inc.",ACOR,Health Care  ,0.646921278,0.873134877,0.786652863,0.873134877,0.45968394,0.743703821,0.646058733
"Acorn Energy, Inc.",ACFN,Information Technology  ,0.432835821,0.887397315,0.401980644,0.887397315,0.636044881,0.480525311,0.520671965
Acquired Sales Corp.,AQSP,Health Care  ,0.011691348,0.092833517,0.115951262,0.092833517,0.073355384,0.093350282,0.139913152
"Actinium Pharmaceuticals, Inc.",ATNM,Health Care  ,0.532346064,0.686071297,0.623954766,0.686071297,0.841014333,0.16286645,0.583572533
"Activision Blizzard, Inc.",ATVI,Communication Services  ,0.940438871,0.314743093,0.86402439,0.314743093,0.762458043,0.741671714,0.912638925
"Acuity Brands, Inc.",AYI,Industrials  ,0.905759162,0.633333333,0.794423744,0.633333333,0.81126597,0.412979351,0.911614402
"Acumen Pharmaceuticals, Inc.",ABOS,Health Care  ,0.178487919,0.16861448,0.729314327,0.16861448,0.056229327,0.925081433,0.140133952
"Acura Pharmaceuticals, Inc.",ACUR,Health Care  ,0.238503507,0.06277104,0.959942661,0.06277104,0.109665564,0.946532136,0.113711636
Acushnet Holdings Corp.,GOLF,Consumer Discretionary  ,0.289950577,0.461036134,0.129216229,0.461036134,0.281671746,0.326037613,0.600814072
"Acusphere, Inc.",ACUS,Health Care  ,0.375681995,0.31877986,0.924822808,0.31877986,0.182285924,0.922698022,0.305954221
"Acutus Medical, Inc.",AFIB,Health Care  ,0.779423227,0.236824697,0.901170662,0.236824697,0.539728041,0.679510606,0.762935159
"Adamas Pharmaceuticals, Inc.",ADMS,Health Care  ,0.809041309,0.667107681,0.592338934,0.667107681,0.757148107,0.48828156,0.882093177
Adamis Pharmaceuticals Corporation,ADMP,Health Care  ,0.273577553,0.729952223,0.902843036,0.729952223,0.30246233,0.39810916,0.249282402
"Adams Resources & Energy, Inc.",AE,Energy  ,0.466019417,0.545017704,0.694340796,0.545017704,0.442336874,0.386166253,0.545754957
AdaptHealth Corp.,AHCO,Health Care  ,0.408417771,0.636898199,0.61726527,0.636898199,0.41786108,0.860729324,0.395304335
"Adaptive Ad Systems, Inc.",AATV,Information Technology  ,0.676234214,0.314566219,0.958699077,0.314566219,0.564315768,0.935234033,0.520772558
Adaptive Biotechnologies Corporation,ADPT,Health Care  ,0.63522993,0.978022786,0.636855937,0.978022786,0.466519662,0.756971479,0.681460219
"Adaptive Medias, Inc.",ADTM,Communication Services  ,0.420062696,0.602891815,0.535670732,0.602891815,0.55460883,0.366747426,0.546135952
Addmaster Corporation,ADDC,Information Technology  ,0.878300804,0.193348026,0.710668467,0.193348026,0.986976558,0.263441464,0.907453978
Addus HomeCare Corporation,ADUS,Health Care  ,0.595479345,0.156119074,0.684717687,0.156119074,0.783020948,0.515531898,0.569735777
"Adfitech, Inc.",ADFT,Financials  ,0.281376518,0.285855145,0.204014049,0.285855145,0.440749373,0.533126501,0.409107207
"Adhera Therapeutics, Inc.",ATRX,Health Care  ,0.24629774,0.590959206,0.553555786,0.590959206,0.300698273,0.14292524,0.425480238
"Adial Pharmaceuticals, Inc.",ADIL,Health Care  ,0.032735776,0.085997795,0.367842638,0.085997795,0.107239985,0.242075157,0.073231766
"Adicet Bio, Inc.",ACET,Health Care  ,0.697583788,0.574715178,0.388070399,0.574715178,0.808599779,0.61452292,0.787738279
Adino Energy Corporation,ADNY,Energy  ,0.427184466,0.984319676,0.924129353,0.984319676,0.178300455,0.918424318,0.350279614
"Aditxt, Inc.",ADTX,Health Care  ,0.795791115,0.438662257,0.413793103,0.438662257,0.992870268,0.002542306,0.985353647
Adobe Inc.,ADBE,Information Technology  ,0.927669346,0.788519335,0.64652262,0.788519335,0.812161891,0.927152318,0.880293733
Adtalem Global Education Inc.,ATGE,Consumer Discretionary  ,0.932454695,0.326222609,0.708326544,0.326222609,0.762443767,0.855544747,0.909870621
"Adtegrity.com International, Inc.",ADTY,Communication Services  ,0.206896552,0.634650142,0.491158537,0.634650142,0.170410534,0.248031496,0.425691393
AdvanSix Inc.,ASIX,Materials  ,0.795366795,0.45567476,0.829503336,0.45567476,0.542631282,0.800738007,0.76611991
"Advance Auto Parts, Inc.",AAP,Consumer Discretionary  ,0.591433278,0.322449572,0.781815219,0.322449572,0.564649543,0.410019455,0.621892717
"Advanced Container Technologies, Inc.",ACTX,Materials  ,0.594594595,0.450028233,0.086730912,0.450028233,0.906267645,0.063099631,0.934106335
"Advanced Drainage Systems, Inc.",WMS,Industrials  ,0.336387435,0.292799071,0.748811512,0.292799071,0.227642276,0.789149673,0.341579559
"Advanced Emissions Solutions, Inc.",ADES,Materials  ,0.513513514,0.543760587,0.345811712,0.543760587,0.593450028,0.332472325,0.793834842
"Advanced Energy Industries, Inc.",AEIS,Information Technology  ,0.541905855,0.57723903,0.67443169,0.57723903,0.377980365,0.703445954,0.602152701
"Advanced Lighting Solutions, Inc.",AVLS,Real Estate  ,0.971830986,0.43902439,0.855172414,0.43902439,0.973392461,0.849865952,0.7827051
"Advanced Micro Devices, Inc.",AMD,Information Technology  ,0.918484501,0.37667802,0.709768175,0.37667802,0.905630134,0.597710181,0.904234986
"Advanced Technologies Group, Ltd.",AVGG,Information Technology  ,0.254879449,0.78997195,0.98356966,0.789871769,0.084702464,0.998204063,0.08560507
"Advanced Voice Recognition Systems, Inc.",AVOI,Information Technology  ,0.154994259,0.048687638,0.960387126,0.048687638,0.005409738,0.858121001,0.009355196
Advant-e Corp.,ADVC,Information Technology  ,0.123995408,0.994189541,0.091154625,0.994189541,0.288118614,0.24480862,0.352278443
Advantego  Corporation,ADGO,Information Technology  ,0.003444317,0.061210178,0.086203016,0.061210178,0.09557203,0.203053092,0.017201489
"Advaxis, Inc.",ADXS,Health Care  ,0.621200312,0.937743477,0.242573863,0.937743477,0.769643513,0.37657901,0.807536616
"Advent Technologies Holdings, Inc.",ADN,Industrials  ,0.734293194,0.154936121,0.414878582,0.154936121,0.658188153,0.593689881,0.865156794
"Adverum Biotechnologies, Inc.",ADVM,Health Care  ,0.943102104,0.730246233,0.545353189,0.730246233,0.991253216,0.490903313,0.99367042
"Adynxx, Inc.",ADYX,Health Care  ,0.109119252,0.65292172,0.496217249,0.65292172,0.166188901,0.195042504,0.237285641
"Aeglea BioTherapeutics, Inc.",AGLE,Health Care  ,0.615744349,0.917603822,0.473680019,0.917603822,0.61168688,0.357114483,0.77184073
Aehr Test Systems,AEHR,Information Technology  ,0.681974742,0.423261871,0.101620527,0.423261871,0.972650771,0.026041082,0.973242129
"Aemetis, Inc.",AMTX,Energy  ,0.812297735,0.612797167,0.360696517,0.612797167,0.958270106,0.245967742,0.949923742
"Aeolus Pharmaceuticals, Inc.",AOLS,Health Care  ,0.305533905,0.560382212,0.856255475,0.560382212,0.142227122,0.923174704,0.239935232
Aeon Global Health Corp.,AGHC,Health Care  ,0.569758379,0.568761485,0.17528072,0.568761485,0.76030871,0.157384603,0.849562081
"Aerie Pharmaceuticals, Inc.",AERI,Health Care  ,0.642244739,0.711650129,0.764991638,0.711650129,0.47908857,0.773655359,0.637815559
"Aerius International, Inc.",AERS,Information Technology  ,0.064293915,0.073632539,0.364731038,0.073632539,0.121318373,0.187114154,0.196157328
Aerkomm Inc.,AKOM,Communication Services  ,0.094043887,0.288148722,0.089329268,0.288148722,0.486961012,0.241066021,0.227190488
"AeroVironment, Inc.",AVAV,Industrials  ,0.687172775,0.355865273,0.351406913,0.355865273,0.629732869,0.630242401,0.845528455
"Aerojet Rocketdyne Holdings, Inc.",AJRD,Industrials  ,0.747382199,0.493031359,0.594500835,0.493031359,0.58583043,0.695780428,0.803948897
"Aerovate Therapeutics, Inc.",AVTE,Health Care  ,0.075604053,0.097390665,0.290355977,0.097390665,0.071223815,0.749503456,0.139765953
"Aerpio Pharmaceuticals, Inc.",ARPO,Health Care  ,0.114575214,0.526203602,0.406386876,0.526203602,0.109886071,0.62127592,0.193199382
Aeterna Zentaris Inc.,AEZS,Health Care  ,0.059236165,0.844248438,0.414111651,0.844248438,0.260418964,0.249702074,0.091042909
"Aethlon Medical, Inc.",AEMD,Health Care  ,0.088074825,0.410804851,0.094927132,0.410804851,0.218596104,0.187653929,0.352248473
"Aeva Technologies, Inc.",AEVA,Information Technology  ,0.785304248,0.198958125,0.474791807,0.198958125,0.98146664,0.284768212,0.879287798
"Affinity Bancshares, Inc.",AFBI,Financials  ,0.439271255,0.566242381,0.854992474,0.566242381,0.480907135,0.117193755,0.456435999
"Affinity Beverage Group, Inc.",ABVG,Consumer Staples  ,0.05204461,0.784550392,0.007622505,0.784550392,0.696439348,0.328390597,0.123979438
"Affinity Networks, Inc.",AFFN,Information Technology  ,0.313432836,0.100881587,0.804974117,0.100881587,0.15117211,0.805140869,0.290212252
"Affirm Holdings, Inc.",AFRM,Information Technology  ,0.443168772,0.772791024,0.287530948,0.772791024,0.442095772,0.661690425,0.609496027
Affluence Corporation,AFFU,Communication Services  ,0.561128527,0.214045959,0.55945122,0.214045959,0.800671314,0.067837674,0.697854743
Aflac Incorporated,AFL,Financials  ,0.600202429,0.818662603,0.599297541,0.818662603,0.65731445,0.454263411,0.651487989
"AfterMaster, Inc.",AFTM,Consumer Discretionary  ,0.5815486,0.602960383,0.079354734,0.602960383,0.86634741,0.249351492,0.82744585
"AgEagle Aerial Systems, Inc.",UAVS,Industrials  ,0.354712042,0.649941928,0.348323269,0.649941928,0.399070848,0.586379377,0.517537747
AgJunction Inc.,AJX,Information Technology  ,0.454649828,0.373672611,0.28843124,0.373672611,0.539571228,0.267257829,0.705462227
"AgeX Therapeutics, Inc.",AGE,Health Care  ,0.761496493,0.373392135,0.37994744,0.373392135,0.965012863,0.018272821,0.967542504
